tissue,cohort,set_name,n_genes_in_set,n_genes_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_D1,retention_joint,status,exclusion_reason
liver,GSE14520,SMID_BREAST_CANCER_RELAPSE_IN_LIVER_DN,10,,,,,,excluded,set size 10 outside 15 to 1000
liver,GSE14520,SMID_BREAST_CANCER_RELAPSE_IN_LIVER_UP,6,,,,,,excluded,set size 6 outside 15 to 1000
liver,GSE14520,SMITH_LIVER_CANCER,47,46,0.7102,2.267463478049352e-32,1.2374,1.1624,included,
liver,GSE14520,SU_LIVER,58,57,-0.9451,2.503265876109863e-34,0.4513,0.4346,included,
liver,GSE14520,VILLANUEVA_LIVER_CANCER_KRT19_DN,63,51,-0.7729,1.5480316651892262e-31,0.518,0.5325,included,
liver,GSE14520,VILLANUEVA_LIVER_CANCER_KRT19_UP,175,138,0.777,1.2385253813577822e-35,0.7661,0.7175,included,
liver,GSE14520,WANG_RECURRENT_LIVER_CANCER_DN,16,14,-0.5923,2.2627941235071198e-27,0.3571,0.2681,included,
liver,GSE14520,WANG_RECURRENT_LIVER_CANCER_UP,20,18,0.6991,4.49829674633225e-34,0.9044,0.8942,included,
liver,GSE14520,WENG_POR_TARGETS_LIVER_DN,23,21,-0.6226,2.375322936018574e-33,0.6279,0.627,included,
liver,GSE14520,WENG_POR_TARGETS_LIVER_UP,44,39,-0.0278,0.6938388058991849,,,excluded,no unadjusted paired effect (two-sided Wilcoxon P >= 0.05)
liver,GSE14520,WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_DN,6,,,,,,excluded,set size 6 outside 15 to 1000
liver,GSE14520,WIEMANN_TELOMERE_SHORTENING_AND_CHRONIC_LIVER_DAMAGE_UP,11,,,,,,excluded,set size 11 outside 15 to 1000
liver,GSE14520,WOO_LIVER_CANCER_RECURRENCE_DN,78,78,-0.9234,2.132868868512331e-33,0.4293,0.4517,included,
liver,GSE14520,WOO_LIVER_CANCER_RECURRENCE_UP,105,103,0.1949,4.1261715786923965e-05,1.0328,0.0611,included,
liver,GSE14520,YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,71,-0.6838,3.3795605006210595e-34,0.4763,0.4232,included,
liver,GSE14520,YAMASHITA_LIVER_CANCER_STEM_CELL_UP,47,45,0.1662,2.7105983098049433e-15,0.5717,0.7926,included,
liver,GSE14520,YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,17,12,-0.5792,1.462926122006872e-26,0.163,0.1936,included,
liver,GSE14520,YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,51,0.7662,6.0659388944197454e-34,0.8206,0.8378,included,
lung,TCGA_LUAD,BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_DN,175,171,-0.2566,0.0016922364394889745,1.323,0.8834,included,
lung,TCGA_LUAD,BLANCO_MELO_COVID19_SARS_COV_2_POS_PATIENT_LUNG_TISSUE_UP,174,169,-0.25,2.576794739093419e-05,0.8687,0.104,included,
lung,TCGA_LUAD,CHEN_LUNG_CANCER_SURVIVAL,28,28,0.2662,2.953832562657818e-05,0.4681,0.6909,included,
lung,TCGA_LUAD,DING_LUNG_CANCER_BY_MUTATION_RATE,20,20,-0.2152,0.004887697086017624,1.3613,0.5097,included,
lung,TCGA_LUAD,DING_LUNG_CANCER_EXPRESSION_BY_COPY_NUMBER,100,100,0.2507,0.02082783589976717,0.3171,0.0881,included,
lung,TCGA_LUAD,DING_LUNG_CANCER_MUTATED_FREQUENTLY,12,,,,,,excluded,set size 12 outside 15 to 1000
lung,TCGA_LUAD,DING_LUNG_CANCER_MUTATED_RECURRENTLY,6,,,,,,excluded,set size 6 outside 15 to 1000
lung,TCGA_LUAD,DING_LUNG_CANCER_MUTATED_SIGNIFICANTLY,26,26,-0.187,0.00355695359914004,1.3797,0.4498,included,
lung,TCGA_LUAD,DONG_LUNG_ADENOCARCINOMA_FERROPTOSIS_LNCRNA,15,14,0.1182,0.04452236247718855,0.3274,0.5304,included,
lung,TCGA_LUAD,FALVELLA_SMOKERS_WITH_LUNG_CANCER,81,80,-0.2459,5.9595325999386544e-05,0.9651,0.4657,included,
lung,TCGA_LUAD,HATADA_METHYLATED_IN_LUNG_CANCER_DN,35,35,0.1757,0.0014426646573894863,0.0597,0.5599,included,
lung,TCGA_LUAD,HATADA_METHYLATED_IN_LUNG_CANCER_UP,377,373,-0.2103,3.49911552471793e-05,1.2927,0.7041,included,
lung,TCGA_LUAD,HEBERT_MATRISOME_TNBC_BONE_BRAIN_LIVER_LUNG_METASTASTASES,13,,,,,,excluded,set size 13 outside 15 to 1000
lung,TCGA_LUAD,HEBERT_MATRISOME_TNBC_BONE_BRAIN_LUNG_LIVER_METASTASTASES_TUMOR_CELL_DERIVED,7,,,,,,excluded,set size 7 outside 15 to 1000
