signature,n_genes,n_on_platform,unadjusted_mean_delta,wilcoxon_p,retention_identity_D1,retention_composition_C1,retention_joint,below50_identity,below50_composition,switches_side,joint_intercept,sign_reverses,ratio_unstable
SERVITJA_LIVER_HNF1A_TARGETS_DN,164,163,-0.4005,5.6e-09,0.6463,1.0311,0.6008,0,0,0,-0.2406,0,0
SERVITJA_LIVER_HNF1A_TARGETS_UP,138,138,0.0842,0.00412,0.4275,1.071,0.3823,1,0,1,+0.0322,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM1,260,256,0.1218,6.27e-06,0.3523,1.3138,0.615,1,0,1,+0.0749,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM2,168,166,0.0914,0.00647,0.245,1.9401,0.7152,1,0,1,+0.0654,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM3,75,74,0.0639,0.0471,0.0,2.0737,1.202,1,0,1,+0.0768,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM4,288,282,-0.3349,8.18e-09,0.5709,1.0426,0.5219,0,0,0,-0.1748,0,0
SHETH_LIVER_CANCER_VS_TXNIP_LOSS_PAM6,55,54,0.11,5.92e-05,0.9134,0.8498,0.6889,0,0,0,+0.0758,0,0
SMITH_LIVER_CANCER,47,47,0.5986,1.33e-08,0.9736,0.8067,0.706,0,0,0,+0.4226,0,0
SU_LIVER,58,57,-0.6908,1.73e-08,0.4603,1.0841,0.4402,1,0,1,-0.3041,0,0
VILLANUEVA_LIVER_CANCER_KRT19_DN,63,60,-0.4692,2.92e-08,0.3966,1.201,0.5185,1,0,1,-0.2433,0,0
VILLANUEVA_LIVER_CANCER_KRT19_UP,175,172,0.5322,2.5e-08,0.7626,0.9326,0.6128,0,0,0,+0.3261,0,0
WANG_RECURRENT_LIVER_CANCER_DN,16,16,-0.2241,0.0029,0.037,1.2772,0.0803,1,0,1,-0.0180,0,0
WANG_RECURRENT_LIVER_CANCER_UP,20,20,0.5385,5.6e-09,0.814,0.9125,0.6497,0,0,0,+0.3499,0,0
WENG_POR_TARGETS_LIVER_DN,23,23,-0.374,7e-08,0.6281,1.1022,0.6741,0,0,0,-0.2521,0,0
WENG_POR_TARGETS_LIVER_UP,44,43,-0.2318,1.18e-05,0.5803,1.3293,0.9207,0,0,0,-0.2134,0,0
WOO_LIVER_CANCER_RECURRENCE_DN,78,78,-0.708,1.13e-08,0.411,1.1421,0.4569,1,0,1,-0.3235,0,0
YAMASHITA_LIVER_CANCER_STEM_CELL_DN,76,76,-0.5204,4.26e-09,0.5039,1.0754,0.4827,0,0,0,-0.2512,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_DN,17,16,-0.3134,0.00228,0.044,1.2807,0.076,1,0,1,-0.0238,0,0
YAMASHITA_LIVER_CANCER_WITH_EPCAM_UP,53,53,0.3869,1.64e-08,0.78,1.1155,0.8816,0,0,0,+0.3411,0,0
