gene	spearman	p	q
UEVLD	0.626702	<5.33E-54	<9.64E-54
GTPBP1	0.626675	<5.33E-54	<9.64E-54
ABCD1	0.626648	<5.33E-54	<9.64E-54
DMD	0.62663	<5.33E-54	<9.64E-54
H1FX	0.626433	<5.33E-54	<9.64E-54
S100A16	0.626427	<5.33E-54	<9.64E-54
PARP16	0.626406	<5.33E-54	<9.64E-54
OGFOD3	0.626302	<5.33E-54	<9.64E-54
TNS3	0.626233	<5.33E-54	<9.64E-54
OPTN	0.626203	<5.33E-54	<9.64E-54
DNAJC10	0.626176	<5.33E-54	<9.64E-54
SMC3	0.626155	<5.33E-54	<9.64E-54
SH3GLB2	0.626128	<5.33E-54	<9.64E-54
CHMP3	0.626015	<5.33E-54	<9.64E-54
PLIN2	0.625827	<5.33E-54	<9.64E-54
PPCS	0.625821	<5.33E-54	<9.64E-54
CAMK2G	0.625803	<5.33E-54	<9.64E-54
CDNF	0.625794	<5.33E-54	<9.64E-54
SMARCC1	0.625782	<5.33E-54	<9.64E-54
UBA1	0.62577	<5.33E-54	<9.64E-54
TYSND1	0.625705	<5.33E-54	<9.64E-54
MYBBP1A	0.625546	<5.33E-54	<9.64E-54
NAA15	0.625487	<5.33E-54	<9.64E-54
PRKRA	0.625406	<5.33E-54	<9.64E-54
RAB3GAP2	0.625012	<5.33E-54	<9.64E-54
CSK	0.624964	<5.33E-54	<9.64E-54
TNC	0.624803	<5.33E-54	<9.64E-54
F10	0.624695	<5.33E-54	<9.64E-54
SLC12A4	0.624606	<5.33E-54	<9.64E-54
TMBIM1	0.624597	<5.33E-54	<9.64E-54
CYBB	0.624522	<5.33E-54	<9.64E-54
VDAC3	0.624092	<5.33E-54	<9.64E-54
POMGNT1	0.624083	<5.33E-54	<9.64E-54
YKT6	0.624021	<5.33E-54	<9.64E-54
HLCS	0.623934	<5.33E-54	<9.64E-54
TBC1D10A	0.623734	<5.33E-54	<9.64E-54
MSR1	0.623648	<5.33E-54	<9.64E-54
RCSD1	0.623495	<5.33E-54	<9.64E-54
MAPKAPK3	0.623331	<5.33E-54	<9.64E-54
WDR5	0.623137	<5.33E-54	<9.64E-54
ITIH3	0.623122	<5.33E-54	<9.64E-54
UHRF1BP1	0.623113	<5.33E-54	<9.64E-54
PGM2	0.623083	<5.33E-54	<9.64E-54
YWHAQ	0.623009	<5.33E-54	<9.64E-54
SCAMP4	0.622949	<5.33E-54	<9.64E-54
DUSP12	0.622883	<5.33E-54	<9.64E-54
LMNB1	0.622839	<5.33E-54	<9.64E-54
RAB32	0.622719	<5.33E-54	<9.64E-54
GEMIN5	0.622674	<5.33E-54	<9.64E-54
IRF2BP2	0.62265	<5.33E-54	<9.64E-54
MAP4K4	0.622624	<5.33E-54	<9.64E-54
PPP1R13B	0.622534	<5.33E-54	<9.64E-54
NKRF	0.622531	<5.33E-54	<9.64E-54
PLEKHA7	0.622244	<5.33E-54	<9.64E-54
FSCN1	0.622212	<5.33E-54	<9.64E-54
APPL2	0.622035	<5.33E-54	<9.64E-54
SLC35B2	0.621856	<5.33E-54	<9.64E-54
TGFB1	0.621761	<5.33E-54	<9.64E-54
MATN2	0.621743	<5.33E-54	<9.64E-54
CDC37	0.621728	<5.33E-54	<9.64E-54
SIK3	0.621626	<5.33E-54	<9.64E-54
FBLN5	0.621591	<5.33E-54	<9.64E-54
BOP1	0.621188	<5.33E-54	<9.64E-54
RDH5	0.621179	<5.33E-54	<9.64E-54
PLOD1	0.62111	<5.33E-54	<9.64E-54
NCK2	0.620898	<5.33E-54	<9.64E-54
TMEM176B	0.62062	<5.33E-54	<9.64E-54
SCAF8	0.620528	<5.33E-54	<9.64E-54
RWDD4	0.620498	<5.33E-54	<9.64E-54
ARNT	0.620495	<5.33E-54	<9.64E-54
EIF2AK4	0.620474	<5.33E-54	<9.64E-54
MAP2K1	0.620456	<5.33E-54	<9.64E-54
UBE4B	0.620283	<5.33E-54	<9.64E-54
PRDX1	0.620235	<5.33E-54	<9.64E-54
CMPK1	0.62017	<5.33E-54	<9.64E-54
EIF4G3	0.620137	<5.33E-54	<9.64E-54
MYO5C	0.620101	<5.33E-54	<9.64E-54
GSTM4	0.620074	<5.33E-54	<9.64E-54
PSMD5	0.619987	<5.33E-54	<9.64E-54
HARS2	0.619964	<5.33E-54	<9.64E-54
ST13	0.619904	<5.33E-54	<9.64E-54
SESTD1	0.619737	<5.33E-54	<9.64E-54
CEBPA	0.619638	<5.33E-54	<9.64E-54
H1F0	0.619635	<5.33E-54	<9.64E-54
NUDT18	0.619528	<5.33E-54	<9.64E-54
LMAN1	0.619468	<5.33E-54	<9.64E-54
OXSM	0.619265	<5.33E-54	<9.64E-54
ESYT2	0.619232	<5.33E-54	<9.64E-54
SLC44A2	0.619077	<5.33E-54	<9.64E-54
UHRF2	0.619014	<5.33E-54	<9.64E-54
SAAL1	0.619008	<5.33E-54	<9.64E-54
EPS15	0.618949	<5.33E-54	<9.64E-54
TFB1M	0.618949	<5.33E-54	<9.64E-54
FHL1	0.618868	<5.33E-54	<9.64E-54
LANCL1	0.618746	<5.33E-54	<9.64E-54
SRA1	0.618746	<5.33E-54	<9.64E-54
PTPN11	0.618743	<5.33E-54	<9.64E-54
RDH13	0.618531	<5.33E-54	<9.64E-54
GTPBP4	0.61848	<5.33E-54	<9.64E-54
FUK	0.618453	<5.33E-54	<9.64E-54
NLRX1	0.618304	<5.33E-54	<9.64E-54
ACOX3	0.618226	<5.33E-54	<9.64E-54
ALG1	0.618119	<5.33E-54	<9.64E-54
PLAC9	0.618011	<5.33E-54	<9.64E-54
CAMK1	0.617901	<5.33E-54	<9.64E-54
UBAP2L	0.61751	4.35e-18	7.75e-18
HNRNPD	0.617411	<5.33E-54	<9.64E-54
FXN	0.617017	<5.33E-54	<9.64E-54
RRBP1	0.616677	<5.33E-54	<9.64E-54
HLA-DPA1	0.616596	<5.33E-54	<9.64E-54
SOD3	0.61642	<5.33E-54	<9.64E-54
BRI3BP	0.61636	<5.33E-54	<9.64E-54
SFXN5	0.616163	<5.33E-54	<9.64E-54
TTLL12	0.616044	<5.33E-54	<9.64E-54
AIG1	0.615918	<5.33E-54	<9.64E-54
WWP2	0.6159	<5.33E-54	<9.64E-54
HINT2	0.615781	<5.33E-54	<9.64E-54
ABLIM1	0.615748	<5.33E-54	<9.64E-54
PDCD11	0.615656	<5.33E-54	<9.64E-54
DPP3	0.615175	<5.33E-54	<9.64E-54
EDC4	0.615166	<5.33E-54	<9.64E-54
MAPK3	0.61516	<5.33E-54	<9.64E-54
CTNNAL1	0.615097	<5.33E-54	<9.64E-54
NHEJ1	0.614933	<5.33E-54	<9.64E-54
ABCF1	0.614817	<5.33E-54	<9.64E-54
HSPB1	0.61465	<5.33E-54	<9.64E-54
OLFML3	0.614557	<5.33E-54	<9.64E-54
CYP4F3	0.61447	<5.33E-54	<9.64E-54
SLC30A7	0.614408	<5.33E-54	<9.64E-54
ALDH16A1	0.614345	<5.33E-54	<9.64E-54
PELO	0.614046	<5.33E-54	<9.64E-54
MERTK	0.613984	<5.33E-54	<9.64E-54
APCS	0.61373	<5.33E-54	<9.64E-54
MMS19	0.613614	<5.33E-54	<9.64E-54
PDLIM4	0.613477	8.2e-18	1.46e-17
PQLC1	0.613378	<5.33E-54	<9.64E-54
PUF60	0.613282	<5.33E-54	<9.64E-54
PRKCI	0.612948	<5.33E-54	<9.64E-54
GLUL	0.612897	<5.33E-54	<9.64E-54
HDGF	0.612897	<5.33E-54	<9.64E-54
TXNDC5	0.612852	<5.33E-54	<9.64E-54
BAG1	0.612724	<5.33E-54	<9.64E-54
RAB4B	0.612682	<5.33E-54	<9.64E-54
ITCH	0.612628	<5.33E-54	<9.64E-54
ANP32A	0.612458	<5.33E-54	<9.64E-54
MROH1	0.612321	<5.33E-54	<9.64E-54
TRUB1	0.612285	<5.33E-54	<9.64E-54
AVL9	0.612193	<5.33E-54	<9.64E-54
FAM20C	0.612067	<5.33E-54	<9.64E-54
CTDSP1	0.612013	<5.33E-54	<9.64E-54
ECI1	0.611939	<5.33E-54	<9.64E-54
TUFM	0.611924	<5.33E-54	<9.64E-54
TMEM135	0.611879	<5.33E-54	<9.64E-54
FIP1L1	0.611876	<5.33E-54	<9.64E-54
GAPVD1	0.611658	<5.33E-54	<9.64E-54
BAG5	0.611595	<5.33E-54	<9.64E-54
PITRM1	0.611515	<5.33E-54	<9.64E-54
PLEKHG3	0.611479	<5.33E-54	<9.64E-54
CTSD	0.611336	<5.33E-54	<9.64E-54
C4BPB	0.611237	<5.33E-54	<9.64E-54
RAPGEF4	0.611195	<5.33E-54	<9.64E-54
SOAT1	0.611055	<5.33E-54	<9.64E-54
XPNPEP1	0.611022	<5.33E-54	<9.64E-54
PDPK1	0.611004	<5.33E-54	<9.64E-54
